,Phyllum,,Total,sample.ST01.0.5.rep.1.MB_S42,sample.ST01.0.5.rep.1.MN_S93,sample.ST01.0.5.rep.2.MB_S38,sample.ST01.0.5.rep.2.MN_S96,sample.ST01.0.rep.1.MB_S8,sample.ST01.0.rep.1.MN_S57,sample.ST01.0.rep.2.MB_S61,sample.ST01.0.rep.2.MN_S37,sample.ST01.1.5.rep.1.MB_S67,sample.ST01.1.5.rep.1.MN_S32,sample.ST01.1.5.rep.2.MB_S11,sample.ST01.1.5.rep.2.MN_S73,sample.ST01.1.rep.1.MB_S19,sample.ST01.1.rep.1.MN_S55,sample.ST01.1.rep.2.MB_S70,sample.ST01.1.rep.2.MN_S51,sample.ST01.10.rep.1.MB_S7,sample.ST01.10.rep.1.MN_S1,sample.ST01.10.rep.2.MB_S79,sample.ST01.10.rep.2.MN_S44,sample.ST01.2.5.rep.1.MB_S63,sample.ST01.2.5.rep.1.MN_S60,sample.ST01.2.5.rep.2.MB_S48,sample.ST01.2.5.rep.2.MN_S94,sample.ST01.2.rep.1.MB_S62,sample.ST01.2.rep.1.MN_S68,sample.ST01.2.rep.2.MB_S6,sample.ST01.2.rep.2.MN_S87,sample.ST01.3.5.rep.1.MB_S12,sample.ST01.3.5.rep.1.MN_S81,sample.ST01.3.5.rep.2.MB_S41,sample.ST01.3.5.rep.2.MN_S69,sample.ST01.3.rep.1.MB_S40,sample.ST01.3.rep.1.MN_S50,sample.ST01.3.rep.2.MB_S89,sample.ST01.3.rep.2.MN_S88,sample.ST01.4.5.rep.1.MB_S47,sample.ST01.4.5.rep.1.MN_S26,sample.ST01.4.5.rep.2.MB_S45,sample.ST01.4.5.rep.2.MN_S58,sample.ST01.4.rep.1.MB_S33,sample.ST01.4.rep.1.MN_S36,sample.ST01.4.rep.2.MB_S9,sample.ST01.4.rep.2.MN_S84,sample.ST01.5.5.rep.1.MB_S66,sample.ST01.5.5.rep.1.MN_S27,sample.ST01.5.5.rep.2.MB_S30,sample.ST01.5.5.rep.2.MN_S34,sample.ST01.5.rep.1.MB_S71,sample.ST01.5.rep.1.MN_S10,sample.ST01.5.rep.2.MB_S75,sample.ST01.5.rep.2.MN_S95,sample.ST01.6.5.rep.1.MB_S85,sample.ST01.6.5.rep.1.MN_S59,sample.ST01.6.5.rep.2.MB_S72,sample.ST01.6.5.rep.2.MN_S21,sample.ST01.6.rep.1.MB_S28,sample.ST01.6.rep.1.MN_S43,sample.ST01.6.rep.2.MB_S17,sample.ST01.6.rep.2.MN_S91,sample.ST01.7.5.rep.1.MB_S90,sample.ST01.7.5.rep.1.MN_S13,sample.ST01.7.5.rep.2.MB_S5,sample.ST01.7.5.rep.2.MN_S4,sample.ST01.7.rep.1.MB_S74,sample.ST01.7.rep.1.MN_S77,sample.ST01.7.rep.2.MB_S24,sample.ST01.7.rep.2.MN_S53,sample.ST01.8.5.rep.1.MB_S76,sample.ST01.8.5.rep.1.MN_S54,sample.ST01.8.5.rep.2.MB_S39,sample.ST01.8.5.rep.2.MN_S22,sample.ST01.8.rep.1.MB_S65,sample.ST01.8.rep.1.MN_S29,sample.ST01.8.rep.2.MB_S25,sample.ST01.8.rep.2.MN_S2,sample.ST01.9.5.rep.1.MB_S56,sample.ST01.9.5.rep.1.MN_S18,sample.ST01.9.5.rep.2.MB_S86,sample.ST01.9.5.rep.2.MN_S23,sample.ST01.9.rep.1.MB_S14,sample.ST01.9.rep.1.MN_S3,sample.ST01.9.rep.2.MB_S46,sample.ST01.9.rep.2.MN_S52
Chlamydomonadales,,,9,1,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chlamydomonas,,,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chytridiomycetes,,,691,2,6,2,0,21,12,13,26,1,0,2,3,3,5,2,0,9,0,4,2,4,15,2,10,0,4,6,4,0,12,8,18,0,7,2,1,6,1,0,1,13,1,7,8,0,0,2,6,128,41,21,86,3,0,2,6,13,8,15,9,0,21,4,6,1,16,6,0,1,0,0,8,0,0,24,2,1,0,5,0,1,2,8,2
Cladosporium sp. CB-20,,,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,1,0,0,0,0
Cucurbitaceae,,,91,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0
Cyclopidae,,,28976,0,0,0,0,0,0,65,0,1951,1711,2039,1258,2173,1852,3717,966,10,0,0,48,3,8,2,2,5705,2841,2096,1995,1,0,0,8,0,8,0,0,0,5,0,5,0,0,2,0,29,13,127,71,54,22,24,59,1,0,0,0,7,16,0,12,1,10,6,7,6,2,2,0,2,2,4,0,0,1,0,0,0,3,22,1,0,1,0,0
Cypridopsis sp. OC-2001,,,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,5,0,0,0,0,0,0
Diaptomidae,,,395,4,1,0,0,0,0,0,0,2,0,0,0,32,19,29,6,6,0,0,11,2,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0,10,1,0,0,10,0,2,0,0,0,0,9,4,2,2,0,0,0,4,27,16,0,5,0,0,0,6,13,6,1,7,0,1,88,7,0,19,0,0,3,4,0,0,21,0,0,6,3
Diplosoma gumavirens,,,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,8,0,0,0,0,0,0,0,23,0,0,0,0
Euchlanis,,,817,0,0,0,0,0,1,0,0,1,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,2,0,0,0,0,0,0,0,0,0,146,354,132,169,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Eucyclops,,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Eurytemora affinis,,,6449,1,1,0,0,239,201,312,202,95,57,134,86,898,822,915,386,5,1,0,23,3,2,4,6,78,453,284,376,0,0,0,6,11,160,116,230,1,1,1,1,1,6,0,2,0,0,0,0,0,0,1,0,0,0,3,12,6,6,6,14,0,0,0,0,0,1,0,0,1,2,6,7,4,126,0,13,5,49,1,64,0,2,0,0
Filinia longiseta,,,48,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,13,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Fungi,,,176,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,14,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,3,1,4,0,0,0,9,0,0,0,0,0,0,0,3,0,1,0,0,0,2,0,0,2,11,11,0,0,0,30,36,0,0,16,0,0,0,19,0,0,0,1,0
Gallus gallus,,,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,1,0
Gieysztoria pavimentata,,,662,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,119,105,176,0,0,0,0
Gyratrix hermaphroditus,,,1233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,7,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,1055,103,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0
Haloragaceae,,,1204,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,6,0,0,0,0,2,0,0,1,0,0,0,0,0,0,2,0,1,0,1,0,1,0,1,1,0,0,0,0,20,0,10,13,7,47,4,12,0,0,0,0,0,0,73,0,1,0,8,4,14,213,73,27,131,64,34,109,3,50,13,104,1,47,69,23
Hylinae,,,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juglans mandshurica,,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
leotiomyceta,,,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,7,0,0,0,0,0,0
Malassezia,,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mesangiospermae,,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0
Mesostoma,,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0
Monhysteridae,,,477,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,6,50,46,15,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22,90,126,108,0,0,0,0,0,0,0,0
Monogononta,,,443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,1,1,8,20,4,2,0,0,0,0,0,0,0,0,0,0,0,17,0,21,0,0,0,0,0,78,34,31,114,0,1,0,0,0,0,0,0,0,0,51,15,0,0,0,0,0,30,0,10,0,0,0,0,0,0,0,0,0,0,0,0
Monomastix,,,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0
Mychonastes,,,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mytilopsis leucophaeata,,,155,0,0,0,0,0,0,0,0,1,0,1,0,1,9,7,3,0,3,0,0,2,8,7,3,0,5,3,3,0,0,1,0,0,0,2,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,68,12,0,0,0,0,0,0,0,0,0,0,0,0,0
Nannochloris sp. SAG 251-2,,,8830,1,2,7,1,10,0,0,4,10,3,3,2,3,1,3,3,215,33,113,197,25,65,56,54,9,56,30,36,3,6,56,60,15,62,88,50,169,144,137,173,40,77,38,55,6,3,32,73,270,239,63,535,125,199,89,100,131,81,100,111,1,348,93,157,54,106,102,25,111,155,325,320,351,281,258,256,273,390,190,272,2,148,181,159
Nematoda,,,601,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,5,1,12,7,4,3,0,0,0,0,0,0,1,0,0,0,0,0,26,90,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,89,57,124,145,0,0,0,0
Onagroideae,,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0
Paucitubulatina,,,31,5,9,3,5,4,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Percomorphaceae,,,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petrosaviidae,,,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,1,0,6,0,0,2,0,1,0,1,0,2,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0
Pinidae,,,115,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,12,26,51,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0
Pleurozia purpurea,,,440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,87,103,95,0,0,0,0,0,0,0,0,11,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ploima,,,179,4,10,6,7,10,7,2,10,2,4,2,4,1,6,0,0,0,0,0,0,2,0,2,0,1,4,3,0,1,0,0,1,2,3,7,1,0,0,5,0,0,0,0,0,4,0,15,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,9,6,4,0,0,0,0,1,0,20,0,0,0,0,0,0,0,2,0
Potamogeton,,,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,14,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,7
Rhizoclosmatium,,,115,0,0,0,0,0,0,7,29,1,0,0,0,0,0,0,2,0,1,0,0,33,0,0,0,5,1,0,0,0,0,0,1,2,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,4,0,0,0,0,3,0,0,0,0,0,1,5,0,0,0,0,0,3,0,1,0,0,0,0,0,0,4
Rhizophlyctis rosea,,,12,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhizophydium,,,16,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Rhizophydium patellarium,,,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Rhizophydium sp. UGA-F16,,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
root,,,275454,4258,5565,4357,4246,4662,3471,4950,4005,6418,3723,5895,3824,2784,2510,2759,1185,4323,208,1303,3328,4380,5413,6173,6659,667,4276,2394,3161,287,2773,3506,3615,588,2899,5651,3644,3609,1920,2472,2455,3248,5037,3294,3911,350,145,2308,3145,6009,3427,1811,6746,5065,4859,5981,3852,3050,3789,2783,3786,41,3297,3040,2501,1229,2174,3022,779,830,3724,2733,3641,4043,3652,2611,2102,3673,2626,2876,5475,154,2158,4093,2068
rosids,,,1295,2,3,0,0,0,0,0,0,1,2,1,2,0,1,0,2,42,0,6,3,13,13,30,22,3,3,6,2,0,10,5,0,0,0,5,1,6,1,6,7,1,25,13,20,0,0,10,4,1,13,0,14,26,0,10,40,14,60,14,30,0,20,56,0,45,20,71,12,9,61,14,64,43,7,54,0,31,141,9,1,2,30,91,21
